utc_time,ric,open,high,low,close,volume,no_trades,open_bid,high_bid,low_bid,close_bid,no_bids,open_ask,high_ask,low_ask,close_ask,no_asks
2004-12-14 15:00:00,.GLD,43.77,43.8,43.73,43.75,,394,,,,,,,,,,
2004-12-14 16:00:00,.GLD,43.75,43.79,43.63,43.65,,718,,,,,,,,,,
2004-12-14 17:00:00,.GLD,43.65,43.72,43.54,43.56,,718,,,,,,,,,,
2004-12-14 18:00:00,.GLD,43.56,43.61,43.51,43.54,,718,,,,,,,,,,
2004-12-14 19:00:00,.GLD,43.54,43.62,43.51,43.58,,719,,,,,,,,,,
2004-12-14 20:00:00,.GLD,43.58,43.63,43.56,43.58,,719,,,,,,,,,,
2004-12-14 21:00:00,.GLD,43.58,43.58,43.54,43.54,,718,,,,,,,,,,
2004-12-14 22:00:00,.GLD,43.54,43.59,43.54,43.55,,718,,,,,,,,,,
2004-12-14 23:00:00,.GLD,43.55,43.55,43.55,43.55,,1,,,,,,,,,,
2004-12-15 15:00:00,.GLD,44.04,44.05,43.94,43.96,,394,,,,,,,,,,
2004-12-15 16:00:00,.GLD,43.96,44.09,43.9,44.09,,719,,,,,,,,,,
2004-12-15 17:00:00,.GLD,44.09,44.13,44.07,44.08,,718,,,,,,,,,,
2004-12-15 18:00:00,.GLD,44.08,44.14,43.95,43.98,,718,,,,,,,,,,
2004-12-15 19:00:00,.GLD,43.98,44.09,43.96,44.08,,719,,,,,,,,,,
2004-12-15 20:00:00,.GLD,44.08,44.08,43.97,44.02,,717,,,,,,,,,,
2004-12-15 21:00:00,.GLD,44.02,44.05,43.98,43.98,,719,,,,,,,,,,
2004-12-15 22:00:00,.GLD,43.98,44.08,43.98,44.05,,718,,,,,,,,,,
2004-12-15 23:00:00,.GLD,44.05,44.05,44.05,44.05,,1,,,,,,,,,,
2004-12-16 15:00:00,.GLD,43.91,44.06,43.91,43.99,,395,,,,,,,,,,
2004-12-16 16:00:00,.GLD,43.99,44.07,43.78,43.87,,718,,,,,,,,,,
2004-12-16 17:00:00,.GLD,43.87,43.9,43.83,43.88,,718,,,,,,,,,,
2004-12-16 18:00:00,.GLD,43.88,43.93,43.7,43.77,,719,,,,,,,,,,
2004-12-16 19:00:00,.GLD,43.77,43.78,43.57,43.65,,717,,,,,,,,,,
2004-12-16 20:00:00,.GLD,43.65,43.71,43.6,43.71,,719,,,,,,,,,,
2004-12-16 21:00:00,.GLD,43.71,43.73,43.65,43.7,,719,,,,,,,,,,
2004-12-16 22:00:00,.GLD,43.7,43.74,43.7,43.73,,718,,,,,,,,,,
2004-12-16 23:00:00,.GLD,43.73,43.73,43.73,43.73,,1,,,,,,,,,,
2004-12-17 15:00:00,.GLD,43.86,43.89,43.77,43.87,,394,,,,,,,,,,
2004-12-17 16:00:00,.GLD,43.87,43.96,43.8,43.8,,718,,,,,,,,,,
2004-12-17 17:00:00,.GLD,43.8,43.94,43.79,43.93,,718,,,,,,,,,,
2004-12-17 18:00:00,.GLD,43.93,44.41,43.92,44.17,,718,,,,,,,,,,
2004-12-17 19:00:00,.GLD,44.17,44.19,44.06,44.06,,719,,,,,,,,,,
2004-12-17 20:00:00,.GLD,44.06,44.15,44.06,44.13,,719,,,,,,,,,,
2004-12-17 21:00:00,.GLD,44.13,44.17,44.13,44.16,,718,,,,,,,,,,
2004-12-17 22:00:00,.GLD,44.16,44.16,44.14,44.14,,718,,,,,,,,,,
2004-12-17 23:00:00,.GLD,44.14,44.14,44.14,44.14,,1,,,,,,,,,,
2004-12-20 15:00:00,.GLD,44.25,44.36,44.25,44.3,,395,,,,,,,,,,
2004-12-20 16:00:00,.GLD,44.3,44.32,44.2,44.3,,718,,,,,,,,,,
2004-12-20 17:00:00,.GLD,44.3,44.37,44.29,44.31,,718,,,,,,,,,,
2004-12-20 18:00:00,.GLD,44.31,44.34,44.1,44.18,,718,,,,,,,,,,
