utc_time,ric,open,high,low,close,volume,no_trades,open_bid,high_bid,low_bid,close_bid,no_bids,open_ask,high_ask,low_ask,close_ask,no_asks
2000-01-03 15:00:00,.VIX,24.88,25.44,24.88,25.37,,16,,,,,,,,,,
2000-01-03 16:00:00,.VIX,24.84,27.57,24.58,27.38,,60,,,,,,,,,,
2000-01-03 17:00:00,.VIX,27.36,28.05,26.41,26.52,,60,,,,,,,,,,
2000-01-03 18:00:00,.VIX,26.53,27.04,26.38,26.66,,60,,,,,,,,,,
2000-01-03 19:00:00,.VIX,26.6,26.68,25.76,26.08,,60,,,,,,,,,,
2000-01-03 20:00:00,.VIX,26.06,26.32,25.47,25.86,,60,,,,,,,,,,
2000-01-03 21:00:00,.VIX,25.76,25.92,24.69,24.69,,59,,,,,,,,,,
2000-01-04 15:00:00,.VIX,26.6,26.6,26.03,26.16,,12,,,,,,,,,,
2000-01-04 16:00:00,.VIX,26.24,26.96,26.13,26.63,,58,,,,,,,,,,
2000-01-04 17:00:00,.VIX,26.61,27.26,26.51,26.73,,60,,,,,,,,,,
2000-01-04 18:00:00,.VIX,26.72,27.94,26.72,27.89,,60,,,,,,,,,,
2000-01-04 19:00:00,.VIX,27.98,28.94,27.36,27.78,,60,,,,,,,,,,
2000-01-04 20:00:00,.VIX,27.73,28.75,27.52,28.44,,60,,,,,,,,,,
2000-01-04 21:00:00,.VIX,28.58,30.05,28.24,29.64,,57,,,,,,,,,,
2000-01-05 15:00:00,.VIX,29.81,30.59,29.24,30.59,,16,,,,,,,,,,
2000-01-05 16:00:00,.VIX,31.02,31.02,28.96,29.88,,52,,,,,,,,,,
2000-01-05 17:00:00,.VIX,29.7,29.7,28.09,29.17,,60,,,,,,,,,,
2000-01-05 18:00:00,.VIX,29.3,29.71,29.02,29.24,,60,,,,,,,,,,
2000-01-05 19:00:00,.VIX,29.15,29.27,28.17,28.17,,60,,,,,,,,,,
2000-01-05 20:00:00,.VIX,28.17,28.85,27.62,28.33,,60,,,,,,,,,,
2000-01-05 21:00:00,.VIX,28.27,28.32,27.0,28.15,,59,,,,,,,,,,
2000-01-06 15:00:00,.VIX,29.0,29.63,29.0,29.49,,16,,,,,,,,,,
2000-01-06 16:00:00,.VIX,29.31,29.51,28.26,28.53,,60,,,,,,,,,,
2000-01-06 17:00:00,.VIX,28.33,28.33,27.63,27.75,,60,,,,,,,,,,
2000-01-06 18:00:00,.VIX,27.79,27.84,26.87,26.87,,60,,,,,,,,,,
2000-01-06 19:00:00,.VIX,26.9,27.32,26.54,27.23,,60,,,,,,,,,,
2000-01-06 20:00:00,.VIX,27.05,27.61,26.91,27.38,,60,,,,,,,,,,
2000-01-06 21:00:00,.VIX,27.49,28.71,27.26,28.13,,59,,,,,,,,,,
2000-01-07 15:00:00,.VIX,27.71,28.02,27.13,27.13,,16,,,,,,,,,,
2000-01-07 16:00:00,.VIX,27.26,27.26,25.41,25.41,,60,,,,,,,,,,
2000-01-07 17:00:00,.VIX,25.41,26.12,25.41,25.77,,56,,,,,,,,,,
2000-01-07 18:00:00,.VIX,25.66,25.93,25.15,25.85,,60,,,,,,,,,,
2000-01-07 19:00:00,.VIX,25.82,25.85,24.56,25.07,,60,,,,,,,,,,
2000-01-07 20:00:00,.VIX,25.26,25.26,24.08,24.1,,60,,,,,,,,,,
2000-01-07 21:00:00,.VIX,24.03,24.24,23.2,23.2,,59,,,,,,,,,,
2000-01-10 15:00:00,.VIX,23.07,23.1,22.46,22.66,,16,,,,,,,,,,
2000-01-10 16:00:00,.VIX,22.65,23.43,22.65,23.43,,60,,,,,,,,,,
2000-01-10 17:00:00,.VIX,23.36,23.91,23.25,23.91,,60,,,,,,,,,,
2000-01-10 18:00:00,.VIX,23.86,23.86,23.44,23.8,,60,,,,,,,,,,
2000-01-10 19:00:00,.VIX,23.6,23.72,22.67,23.04,,60,,,,,,,,,,
2000-01-10 20:00:00,.VIX,23.03,23.22,22.66,22.89,,60,,,,,,,,,,
2000-01-10 21:00:00,.VIX,22.53,22.71,21.94,22.51,,59,,,,,,,,,,
2000-01-11 15:00:00,.VIX,22.57,22.61,22.32,22.32,,16,,,,,,,,,,
2000-01-11 16:00:00,.VIX,22.36,22.84,22.3,22.45,,60,,,,,,,,,,
2000-01-11 17:00:00,.VIX,22.31,22.98,22.19,22.98,,60,,,,,,,,,,
2000-01-11 18:00:00,.VIX,23.1,23.1,22.68,23.01,,59,,,,,,,,,,
2000-01-11 19:00:00,.VIX,23.0,23.06,22.8,22.93,,60,,,,,,,,,,
2000-01-11 20:00:00,.VIX,22.96,23.4,22.77,23.4,,60,,,,,,,,,,
2000-01-11 21:00:00,.VIX,23.39,24.36,23.27,23.93,,59,,,,,,,,,,
2000-01-12 15:00:00,.VIX,24.78,24.95,24.64,24.64,,15,,,,,,,,,,
2000-01-12 16:00:00,.VIX,24.86,25.51,24.02,24.14,,60,,,,,,,,,,
2000-01-12 17:00:00,.VIX,24.27,24.6,23.51,23.6,,60,,,,,,,,,,
2000-01-12 18:00:00,.VIX,23.68,24.35,23.57,24.19,,60,,,,,,,,,,
2000-01-12 19:00:00,.VIX,24.05,24.38,23.33,24.16,,60,,,,,,,,,,
2000-01-12 20:00:00,.VIX,24.24,24.6,24.14,24.46,,60,,,,,,,,,,
2000-01-12 21:00:00,.VIX,24.57,24.83,23.94,24.63,,59,,,,,,,,,,
2000-01-13 15:00:00,.VIX,24.12,24.52,24.09,24.34,,16,,,,,,,,,,
2000-01-13 16:00:00,.VIX,24.74,25.08,24.51,24.9,,60,,,,,,,,,,
2000-01-13 17:00:00,.VIX,24.82,24.87,23.9,24.76,,60,,,,,,,,,,
2000-01-13 18:00:00,.VIX,24.78,24.84,24.45,24.72,,60,,,,,,,,,,
2000-01-13 19:00:00,.VIX,24.67,24.67,23.42,23.56,,60,,,,,,,,,,
2000-01-13 20:00:00,.VIX,23.66,23.77,23.12,23.41,,60,,,,,,,,,,
2000-01-13 21:00:00,.VIX,23.38,23.38,22.59,23.35,,59,,,,,,,,,,
2000-01-14 15:00:00,.VIX,22.12,22.12,21.6,21.61,,16,,,,,,,,,,
